iter	Passed	Remaining
927	24000	1862
928	24025	1836
929	24050	1810
930	24076	1784
931	24099	1758
932	24124	1732
933	24150	1706
934	24176	1680
935	24200	1654
936	24225	1628
937	24249	1602
938	24274	1576
939	24297	1550
940	24325	1525
941	24353	1499
942	24379	1473
943	24404	1447
944	24430	1421
945	24455	1395
946	24479	1370
947	24504	1344
948	24529	1318
949	24555	1292
950	24580	1266
951	24604	1240
952	24628	1214
953	24653	1188
954	24679	1162
955	24704	1137
956	24728	1111
957	24754	1085
958	24778	1059
959	24804	1033
960	24831	1007
961	24857	981
962	24881	955
963	24906	930
964	24931	904
965	24956	878
966	24981	852
967	25005	826
968	25032	800
969	25058	775
970	25084	749
971	25110	723
972	25134	697
973	25158	671
974	25182	645
975	25206	619
976	25231	593
977	25256	568
978	25280	542
979	25306	516
980	25331	490
981	25357	464
982	25381	438
983	25407	413
984	25434	387
985	25460	361
986	25488	335
987	25514	309
988	25538	284
989	25563	258
990	25589	232
991	25615	206
992	25643	180
993	25669	154
994	25694	129
995	25719	103
996	25746	77
997	25770	51
998	25796	25
999	25820	0
